rank,content_id,score,action,reason_code
1,content_f85630630136,0.97,refresh_review,visibility_opportunity
2,content_730c0b690c12,0.965,refresh_review,visibility_opportunity
3,content_452a4e18212c,0.96,refresh_review,visibility_opportunity
4,content_94d1f783deed,0.96,refresh_review,stale_high_volume
5,content_91c02d2830b8,0.955,refresh_review,visibility_opportunity
6,content_2d22e0215964,0.955,refresh_review,stale_high_volume
7,content_8573511e9f28,0.955,refresh_review,stale_high_volume
8,content_f2508318df4b,0.955,refresh_review,visibility_opportunity
9,content_3cd58a4a2731,0.955,refresh_review,stale_high_volume
10,content_20b682542a31,0.955,refresh_review,visibility_opportunity
11,content_4b40bc3fc714,0.95,refresh_review,visibility_opportunity
12,content_eb3b2c3bbc34,0.95,refresh_review,visibility_opportunity
13,content_5dffb6753f7d,0.945,refresh_review,stale_high_volume
14,content_f49660e074e9,0.945,refresh_review,visibility_opportunity
15,content_9bdcd789c811,0.945,refresh_review,visibility_opportunity
16,content_1d0963b56227,0.945,refresh_review,stale_high_volume
17,content_9b28cf5ae4f3,0.945,refresh_review,visibility_opportunity
18,content_ff3237507101,0.945,refresh_review,stale_high_volume
19,content_9ac61c04930e,0.945,refresh_review,stale_high_volume
20,content_09b0e4b05a30,0.945,refresh_review,visibility_opportunity
21,content_53285c7434ac,0.945,refresh_review,visibility_opportunity
22,content_baa7232f4846,0.94,refresh_review,visibility_opportunity
23,content_7e3d9c85959b,0.94,refresh_review,stale_high_volume
24,content_35d63627bf3e,0.94,refresh_review,stale_high_volume
25,content_e988c1699454,0.94,refresh_review,stale_high_volume
26,content_e3055c8ca910,0.94,refresh_review,stale_high_volume
27,content_7a6cb4857fe6,0.935,refresh_review,visibility_opportunity
28,content_c8aa94ff1243,0.935,refresh_review,stale_high_volume
29,content_c5cdd229c348,0.935,refresh_review,stale_high_volume
30,content_9bf359248199,0.935,refresh_review,stale_high_volume
31,content_8ede62882d0b,0.935,refresh_review,visibility_opportunity
32,content_bb82ff64c917,0.935,refresh_review,stale_high_volume
33,content_720edd4e1491,0.935,refresh_review,stale_high_volume
34,content_aec0a7f1c9f0,0.935,refresh_review,visibility_opportunity
35,content_8f1409b2674e,0.935,refresh_review,stale_high_volume
36,content_35972508aa52,0.935,refresh_review,visibility_opportunity
37,content_9db40e41d57d,0.935,refresh_review,visibility_opportunity
38,content_4af460eac501,0.93,refresh_review,stale_high_volume
39,content_e2b8e97ea579,0.93,refresh_review,visibility_opportunity
40,content_41baf0722ad9,0.93,refresh_review,stale_high_volume
41,content_4d9f36001f06,0.93,refresh_review,stale_high_volume
42,content_cf296f912fb7,0.93,refresh_review,stale_high_volume
43,content_d38581402cd5,0.925,refresh_review,visibility_opportunity
44,content_6383ca5adafb,0.925,refresh_review,stale_high_volume
45,content_b46c62b14582,0.925,refresh_review,stale_high_volume
